DRDP Measure,** DRDP Developmental Level ,** Teaching Practice Category,Resource Agency,Activity Title,Activity Description,URL,"** FS Domain (should be Cognitive, Language, Physical or Social Emotional)","Age Range (months) should be the numbers only, e.g., 6-12)",Extra columns unique to that form (list out after) create a new column for each unique variable,FS ActivityCard #,FS Music,FS Infant Card SPANISH URL,"FS Intentions (should be Communication, Attention, Curiosity or Persitence)","FS Intentions (should be Communication, Attention, Curiosity or Persitence)","HSELOF goals (IT-ATL #, IT-SE #, IT-LC #, IT-C #, IT-PMP #)",ASQ page number
LLD 3: Communication and Use of Language (Expressive),"Responding Later, Exploring Earlier",Planned Learning Activity,Frog Street Infant,I Can Can You,"Invite children to mimic your actions in ""I Can, Can You?""",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75599,Social Emotional,12 - 18,,"SE, 54",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75894,Communication,,,
LLD 4: Reciprocal Communication and Conversation,"Responding Later, Exploring Earlier, Exploring Middle",Planned Learning Activity,Frog Street Infant,I Can Can You,"Invite children to mimic your actions in ""I Can, Can You?""",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75599,Social Emotional,12 - 18,,"SE, 54",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75894,Communication,,,
SED 2: Social and Emotional Understanding,"Responding Later, Exploring Earlier, Exploring Later",Planned Learning Activity,Frog Street Infant,I Can Can You,"Invite children to mimic your actions in ""I Can, Can You?""",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75599,Social Emotional,12 - 18,,"SE, 54",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75894,Communication,,,
COG 9: Inquiry Through Observation and Investigation,"Responding Later, Exploring Earlier",Planned Learning Activity,Frog Street Infant,I Can Can You,"Invite children to mimic your actions in ""I Can, Can You?""",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75599,Social Emotional,12 - 18,,"SE, 54",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75894,Communication,,,
LLD 1: Understanding of Language (Receptive),"Responding Later, Exploring Earlier",Planned Learning Activity,Frog Street Infant,Peek-a-Boo Surprises,"Glue a large photo of your face inside a folder and sit with a baby on the floor and hold the closed folder in front of her, say ""Peek-a-boo. Where are you,"" lift the flap and say ""Boo""",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75601,Social Emotional,12 - 18,,"SE, 56",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75897,Curiosity,,,
LLD 3: Communication and Use of Language (Expressive),"Responding Later, Exploring Earlier",Planned Learning Activity,Frog Street Infant,Peek-a-Boo Surprises,"Glue a large photo of your face inside a folder and sit with a baby on the floor and hold the closed folder in front of her, say ""Peek-a-boo. Where are you,"" lift the flap and say ""Boo""",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75601,Social Emotional,12 - 18,,"SE, 56",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75897,Curiosity,,,
LLD 4: Reciprocal Communication and Conversation,"Responding Later, Exploring Earlier, Exploring Middle",Planned Learning Activity,Frog Street Infant,Peek a Boo Surprises,"Glue a large photo of your face inside a folder and sit with a baby on the floor and hold the closed folder in front of her, say ""Peek-a-boo. Where are you,"" lift the flap and say ""Boo""",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75601,Social Emotional,12 - 18,,"SE, 56",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75897,curiosity,,,
LLD 1: Understanding of Language (Receptive),"Responding Later, Exploring Earlier",Planned Learning Activity,Frog Street Infant,Feeling Blocks,"Print 'Emotional Expressions"" cards and paste them onto blocks, encourage children to stack the blocks and discuss the emotions represented on the cards",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75602,Social Emotional,12 - 18,,"SE, 57",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75898,Communication,Persistence,,
LLD 3: Communication and Use of Language (Expressive),"Responding Later, Exploring Earlier",Planned Learning Activity,Frog Street Infant,Feeling Blocks,"Print 'Emotional Expressions"" cards and paste them onto blocks, encourage children to stack the blocks and discuss the emotions represented on the cards",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75602,Social Emotional,12 - 18,,"SE, 57",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75898,Communication,Persistence,,
LLD 4: Reciprocal Communication and Conversation,"Responding Later, Exploring Earlier, Exploring Middle",Planned Learning Activity,Frog Street Infant,Feeling Blocks,"Print 'Emotional Expressions"" cards and paste them onto blocks, encourage children to stack the blocks and discuss the emotions represented on the cards",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75602,Social Emotional,12 - 18,,"SE, 57",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75898,Communication,Persistence,,
SED 2: Social and Emotional Understanding,"Responding Later, Exploring Earlier, Exploring Later",Planned Learning Activity,Frog Street Infant,Feeling Blocks,"Print 'Emotional Expressions"" cards and paste them onto blocks, encourage children to stack the blocks and discuss the emotions represented on the cards",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75602,Social Emotional,12 - 18,,"SE, 57",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75898,Communication,Persistence,,
LLD 4: Reciprocal Communication and Conversation,"Responding Later, Exploring Earlier, Exploring Middle",Planned Learning Activity,Frog Street Infant,"Breathe n, Blow Out","Show how to take a deep breath, strategy for when upset",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75604,Social Emotional,12 - 18,,"SE, 59",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75899,Attention,,,
ATL-REG 2: Self-Comforting,"Responding Earlier, Responding Later",Planned Learning Activity,Frog Street Infant,Snuggles,"Sing bonding songs such as ""Snuggles"" to a baby during floor time",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75551,Social Emotional,0 - 3,,"SE, 6",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75680,Attention,,,
LLD 1: Understanding of Language (Receptive),Responding Earlier,Planned Learning Activity,Frog Street Infant,Snuggles,"Sing bonding songs such as ""Snuggles"" to a baby during floor time",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75551,Social Emotional,0 - 3,,"SE, 6",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75680,Attention,,,
LLD 3: Communication and Use of Language (Expressive),"Responding Earlier, Responding Later",Planned Learning Activity,Frog Street Infant,Snuggles,"Sing bonding songs such as ""Snuggles"" to a baby during floor time",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75551,Social Emotional,0 - 3,,"SE, 6",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75680,Attention,,,
LLD 4: Reciprocal Communication and Conversation,"Responding Earlier, Responding Later",Planned Learning Activity,Frog Street Infant,Snuggles,"Sing bonding songs such as ""Snuggles"" to a baby during floor time",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75551,Social Emotional,0 - 3,,"SE, 6",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75680,Attention,,,
ATL-REG 2: Self-Comforting,Responding Later,Planned Learning Activity,Frog Street Infant,Group Games,"Invite several little ones to play ""Ring around the Rosie"" by demonstrating how to hold hands and safely ""fall"" down",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75605,Social Emotional,12 - 18,,"SE, 60",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75901,Communication,,,
LLD 1: Understanding of Language (Receptive),"Responding Later, Exploring Earlier",Planned Learning Activity,Frog Street Infant,Group Games,"Invite several little ones to play ""Ring around the Rosie"" by demonstrating how to hold hands and safely ""fall"" down",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75605,Social Emotional,12 - 18,,"SE, 60",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75901,Communication,,,
LLD 3: Communication and Use of Language (Expressive),"Responding Later, Exploring Earlier",Planned Learning Activity,Frog Street Infant,Group Games,"Invite several little ones to play ""Ring around the Rosie"" by demonstrating how to hold hands and safely ""fall"" down",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75605,Social Emotional,12 - 18,,"SE, 60",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75901,Communication,,,
LLD 4: Reciprocal Communication and Conversation,"Responding Later, Exploring Earlier, Exploring Middle",Planned Learning Activity,Frog Street Infant,Group Games,"Invite several little ones to play ""Ring around the Rosie"" by demonstrating how to hold hands and safely ""fall"" down",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75605,Social Emotional,12 - 18,,"SE, 60",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75901,Communication,,,
SED 2: Social and Emotional Understanding,"Responding Later, Exploring Earlier, Exploring Later",Planned Learning Activity,Frog Street Infant,Group Games,"Invite several little ones to play ""Ring around the Rosie"" by demonstrating how to hold hands and safely ""fall"" down",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75605,Social Emotional,12 - 18,,"SE, 60",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75901,Communication,,,
ATL-REG 2: Self-Comforting,Responding Later,Planned Learning Activity,Frog Street Infant,Little Helpers,"Have older children help you with tasks such as helping a friend pick up toys, passing out napkins and cups, handing you a clean diaper, or bringing a toy to a child who is upset",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75606,Social Emotional,12 - 18,,"SE, 61",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75900,Attention,,,
LLD 1: Understanding of Language (Receptive),"Responding Later, Exploring Earlier",Planned Learning Activity,Frog Street Infant,Little Helpers,"Have older children help you with tasks such as helping a friend pick up toys, passing out napkins and cups, handing you a clean diaper, or bringing a toy to a child who is upset",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75606,Social Emotional,12 - 18,,"SE, 61",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75900,Attention,,,
LLD 3: Communication and Use of Language (Expressive),"Responding Later, Exploring Earlier",Planned Learning Activity,Frog Street Infant,Little Helpers,"Have older children help you with tasks such as helping a friend pick up toys, passing out napkins and cups, handing you a clean diaper, or bringing a toy to a child who is upset",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75606,Social Emotional,12 - 18,,"SE, 61",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75900,Attention,,,
LLD 4: Reciprocal Communication and Conversation,"Responding Later, Exploring Earlier, Exploring Middle",Planned Learning Activity,Frog Street Infant,Little Helpers,"Have older children help you with tasks such as helping a friend pick up toys, passing out napkins and cups, handing you a clean diaper, or bringing a toy to a child who is upset",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75606,Social Emotional,12 - 18,,"SE, 61",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75900,Attention,,,
SED 2: Social and Emotional Understanding,"Responding Later, Exploring Earlier, Exploring Later",Planned Learning Activity,Frog Street Infant,Little Helpers,"Have older children help you with tasks such as helping a friend pick up toys, passing out napkins and cups, handing you a clean diaper, or bringing a toy to a child who is upset",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75606,Social Emotional,12 - 18,,"SE, 61",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75900,Attention,,,
ATL-REG 2: Self-Comforting,Responding Later,Planned Learning Activity,Frog Street Infant,You've Been Missed,Have Lily the puppet recite rhyme and give returning child kiss,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75607,Social Emotional,12 - 18,,"SE, 62",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75904,Communication,,,
LLD 1: Understanding of Language (Receptive),"Responding Later, Exploring Earlier",Planned Learning Activity,Frog Street Infant,You've Been Missed,Have Lily the puppet recite rhyme and give returning child kiss,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75607,Social Emotional,12 - 18,,"SE, 62",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75904,Communication,,,
LLD 3: Communication and Use of Language (Expressive),"Responding Later, Exploring Earlier",Planned Learning Activity,Frog Street Infant,You've Been Missed,Have Lily the puppet recite rhyme and give returning child kiss,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75607,Social Emotional,12 - 18,,"SE, 62",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75904,Communication,,,
LLD 4: Reciprocal Communication and Conversation,"Responding Later, Exploring Earlier, Exploring Middle",Planned Learning Activity,Frog Street Infant,You've Been Missed,Have Lily the puppet recite rhyme and give returning child kiss,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75607,Social Emotional,12 - 18,,"SE, 62",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75904,Communication,,,
SED 2: Social and Emotional Understanding,"Responding Later, Exploring Earlier, Exploring Later",Planned Learning Activity,Frog Street Infant,You've Been Missed,Have Lily the puppet recite rhyme and give returning child kiss,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75607,Social Emotional,12 - 18,,"SE, 62",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75904,Communication,,,
LLD 1: Understanding of Language (Receptive),"Responding Later, Exploring Earlier",Planned Learning Activity,Frog Street Infant,Gently Rock,"Show little ones how to rock a baby doll while singing ""Rock-a-Bye Baby,"" demonstrate how to hold the doll gently and how to rock slowly, sing along, remind them how others have gently rocked them",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75608,Social Emotional,12 - 18,,"SE, 63",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75902,Communication,,,
LLD 3: Communication and Use of Language (Expressive),"Responding Later, Exploring Earlier",Planned Learning Activity,Frog Street Infant,Gently Rock,"Show little ones how to rock a baby doll while singing ""Rock-a-Bye Baby,"" demonstrate how to hold the doll gently and how to rock slowly, sing along, remind them how others have gently rocked them",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75608,Social Emotional,12 - 18,,"SE, 63",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75902,Communication,,,
LLD 4: Reciprocal Communication and Conversation,"Responding Later, Exploring Earlier, Exploring Middle",Planned Learning Activity,Frog Street Infant,Gently Rock,"Show little ones how to rock a baby doll while singing ""Rock-a-Bye Baby,"" demonstrate how to hold the doll gently and how to rock slowly, sing along, remind them how others have gently rocked them",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75608,Social Emotional,12 - 18,,"SE, 63",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75902,Communication,,,
SED 2: Social and Emotional Understanding,"Responding Later, Exploring Earlier, Exploring Later",Planned Learning Activity,Frog Street Infant,Gently Rock,"Show little ones how to rock a baby doll while singing ""Rock-a-Bye Baby,"" demonstrate how to hold the doll gently and how to rock slowly, sing along, remind them how others have gently rocked them",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75608,Social Emotional,12 - 18,,"SE, 63",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75902,Communication,,,
SED 2: Social and Emotional Understanding,"Responding Later, Exploring Earlier, Exploring Later",Planned Learning Activity,Frog Street Infant,My Body Talks,"Say the ""My Body Talks"" chant with children and encourage them to mimic your actions, discuss how we use our body to communicate",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75609,Social Emotional,12 - 18,,"SE, 64",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75905,Communication,,,
LLD 5: Interest in Literacy,"Responding Later, Exploring Earlier, Exploring Later",Planned Learning Activity,Frog Street Infant,Stop and Go,"Play ""Stop and Go"", Say ""Go, go, go, go"" and then suddenly say ""Stop"" Explain to them they can move at go but stop at stop, you can also play ""Musical Freeze""",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75611,Social Emotional,12 - 18,,"SE, 66",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75906,Communication,,,
ATL-REG 2: Self-Comforting,"Responding Earlier, Responding Later",Planned Learning Activity,Frog Street Infant,Peek-a-Boo,"Play ""Baby Face"", start with your face so the baby understands the game and then play by placing the baby's hands over their own eyes",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75552,Social Emotional,0 - 3,,"SE, 7",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75675,Curiosity,Persistence,,
ATL-REG 5: Self-Control of Feelings and Behavior,"Responding Earlier, Responding Later",Planned Learning Activity,Frog Street Infant,Peek-a-Boo,"Play ""Baby Face"", start with your face so the baby understands the game and then play by placing the baby's hands over their own eyes",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75552,Social Emotional,0 - 3,,"SE, 7",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75675,Curiosity,Persistence,,
LLD 3: Communication and Use of Language (Expressive),"Responding Earlier, Responding Later",Planned Learning Activity,Frog Street Infant,Peek-a-Boo,"Play ""Baby Face"", start with your face so the baby understands the game and then play by placing the baby's hands over their own eyes",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75552,Social Emotional,0 - 3,,"SE, 7",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75675,Curiosity,Persistence,,
ATL-REG 5: Self-Control of Feelings and Behavior,"Responding Earlier, Responding Later",Planned Learning Activity,Frog Street Infant,Rock-a-Bye Baby,"Sing your favorite lullaby while rocking baby, add peeper puppet on next day",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75553,Social Emotional,0 - 3,,"SE, 8",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75676,Communication,Attention,,
LLD 4: Reciprocal Communication and Conversation,"Responding Earlier, Responding Later",Planned Learning Activity,Frog Street Infant,Rock-a-Bye Baby,"Sing your favorite lullaby while rocking baby, add peeper puppet on next day",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75553,Social Emotional,0 - 3,,"SE, 8",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75676,Communication,Attention,,
COG 9: Inquiry Through Observation and Investigation,"Responding Earlier, Responding Later",Planned Learning Activity,Frog Street Infant,Baby Feet,"Point out toes and heel of baby's foot, say rhyme",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75554,Social Emotional,0 - 3,,"SE, 9",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75677,Communication,Curiosity,,
LLD 1: Understanding of Language (Receptive),Responding Earlier,Planned Learning Activity,Frog Street Infant,Baby Feet,"Point out toes and heel of baby's foot, say rhyme",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75554,Social Emotional,0 - 3,,"SE, 9",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75677,Communication,Curiosity,,
LLD 3: Communication and Use of Language (Expressive),"Responding Earlier, Responding Later",Planned Learning Activity,Frog Street Infant,Baby Feet,"Point out toes and heel of baby's foot, say rhyme",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75554,Social Emotional,0 - 3,,"SE, 9",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75677,Communication,Curiosity,,
SED 3: Relationships and Social Interactions with Familiar Adults,"Exploring Later, Building Earlier",Family Engagement,Attendance Works,Help Your Child Succeed in Preschool and Kindergarten Build the Habit of Good Attendance,"Work with your child and his/her teacher to develop your child’s strong attendance.

Talk about it – sing about it – make it an adventure!
• Set a regular bedtime and morning routine.
• Lay out clothes and pack backpacks the night before.
• Share ideas with other parents for getting to school on time.

Before the school year starts
• Find out what day school starts and begin a countdown!
• Make sure your child has the required shots.
• Attend orientation with your child to meet teachers and classmates and find out about health and safety procedures.

Ready, Set, GO!
• If you are concerned your child may have a contagious illness, call your school or health care provider for advice. Ask for resources to continue learning at home if needed.
• Ask family members or neighbors for assistance if you need help.
• Try to schedule non-urgent medical appointments and extended trips when school is not in session.
• If your child seems anxious about going to preschool, talk to the program director, teacher, your doctor or other parents for advice.

Make sure the program is a good fit for your child.",https://neighborhoodhouseassoc-my.sharepoint.com/shared?listurl=https%3A%2F%2Fneighborhoodhouseassoc%2Esharepoint%2Ecom%2Fsites%2FPY56EHSSiteSupervisorsAsst%2ESiteSupervisors%2FShared%20Documents&viewid=6e91a754%2D4ae3%2D4deb%2D8d00%2Da90a4a732347&login_hint=dbryan%40neighborhoodhouse%2Eorg&source=waffle&id=%2Fsites%2FPY56EHSSiteSupervisorsAsst%2ESiteSupervisors%2FShared%20Documents%2FGeneral%2FFamily%20Engagement%2FAttendance%20Works%2FPre%2DK%5FHandout%5F043024%2Epdf&parent=%2Fsites%2FPY56EHSSiteSupervisorsAsst%2ESiteSupervisors%2FShared%20Documents%2FGeneral%2FFamily%20Engagement%2FAttendance%20Works,,,,,,Spanish Attendance Works - OneDrive,,,,
PD-HLTH 5: Safety,"Exploring Later, Building Earlier",Family Engagement,Attendance Works,Help Your Child Succeed in Preschool and Kindergarten Build the Habit of Good Attendance,"Work with your child and his/her teacher to develop your child’s strong attendance.

Talk about it – sing about it – make it an adventure!
• Set a regular bedtime and morning routine.
• Lay out clothes and pack backpacks the night before.
• Share ideas with other parents for getting to school on time.

Before the school year starts
• Find out what day school starts and begin a countdown!
• Make sure your child has the required shots.
• Attend orientation with your child to meet teachers and classmates and find out about health and safety procedures.

Ready, Set, GO!
• If you are concerned your child may have a contagious illness, call your school or health care provider for advice. Ask for resources to continue learning at home if needed.
• Ask family members or neighbors for assistance if you need help.
• Try to schedule non-urgent medical appointments and extended trips when school is not in session.
• If your child seems anxious about going to preschool, talk to the program director, teacher, your doctor or other parents for advice.

Make sure the program is a good fit for your child.",https://neighborhoodhouseassoc-my.sharepoint.com/shared?listurl=https%3A%2F%2Fneighborhoodhouseassoc%2Esharepoint%2Ecom%2Fsites%2FPY56EHSSiteSupervisorsAsst%2ESiteSupervisors%2FShared%20Documents&viewid=6e91a754%2D4ae3%2D4deb%2D8d00%2Da90a4a732347&login_hint=dbryan%40neighborhoodhouse%2Eorg&source=waffle&id=%2Fsites%2FPY56EHSSiteSupervisorsAsst%2ESiteSupervisors%2FShared%20Documents%2FGeneral%2FFamily%20Engagement%2FAttendance%20Works%2FPre%2DK%5FHandout%5F043024%2Epdf&parent=%2Fsites%2FPY56EHSSiteSupervisorsAsst%2ESiteSupervisors%2FShared%20Documents%2FGeneral%2FFamily%20Engagement%2FAttendance%20Works,,,,,,Spanish Attendance Works - OneDrive,,,,
PD-HLTH 6: Personal Care Routines: Hygiene,"Exploring Later, Building Earlier",Family Engagement,Attendance Works,Help Your Child Succeed in Preschool and Kindergarten Build the Habit of Good Attendance,"Work with your child and his/her teacher to develop your child’s strong attendance.

Talk about it – sing about it – make it an adventure!
• Set a regular bedtime and morning routine.
• Lay out clothes and pack backpacks the night before.
• Share ideas with other parents for getting to school on time.

Before the school year starts
• Find out what day school starts and begin a countdown!
• Make sure your child has the required shots.
• Attend orientation with your child to meet teachers and classmates and find out about health and safety procedures.

Ready, Set, GO!
• If you are concerned your child may have a contagious illness, call your school or health care provider for advice. Ask for resources to continue learning at home if needed.
• Ask family members or neighbors for assistance if you need help.
• Try to schedule non-urgent medical appointments and extended trips when school is not in session.
• If your child seems anxious about going to preschool, talk to the program director, teacher, your doctor or other parents for advice.

Make sure the program is a good fit for your child.",https://neighborhoodhouseassoc-my.sharepoint.com/shared?listurl=https%3A%2F%2Fneighborhoodhouseassoc%2Esharepoint%2Ecom%2Fsites%2FPY56EHSSiteSupervisorsAsst%2ESiteSupervisors%2FShared%20Documents&viewid=6e91a754%2D4ae3%2D4deb%2D8d00%2Da90a4a732347&login_hint=dbryan%40neighborhoodhouse%2Eorg&source=waffle&id=%2Fsites%2FPY56EHSSiteSupervisorsAsst%2ESiteSupervisors%2FShared%20Documents%2FGeneral%2FFamily%20Engagement%2FAttendance%20Works%2FPre%2DK%5FHandout%5F043024%2Epdf&parent=%2Fsites%2FPY56EHSSiteSupervisorsAsst%2ESiteSupervisors%2FShared%20Documents%2FGeneral%2FFamily%20Engagement%2FAttendance%20Works,,,,,,Spanish Attendance Works - OneDrive,,,,
ATL-REG 2: Self-Comforting,"Exploring Earlier, Exploring Later, Building Earlier","Planned Learning Activity, Learning Environment and Materials, Family Engagement",CSEFEL,No Biting By Karen Katz Illustrated by Steve Johnson and Lou Fancher,"The story teaches ways to replace inappropriate behavior with more appropriate skills. Additional Activities for circle time, blocks, dramatic play, puzzles, outside, art and snack time",https://csefel.vanderbilt.edu/booknook/bn_nobiting.pdf,Social and Emotional Development,12 - 36,,,,,,,,
SED 1: Identity of Self in Relation to Others,"Exploring Earlier, Exploring Later","Planned Learning Activity, Learning Environment and Materials, Family Engagement",CSEFEL,I Can Share By Karen Katz,"Book used to help teach about sharing. Additional sharing activities for circle time, centers outside play, art, snack, nap and dismissal.",https://csefel.vanderbilt.edu/booknook/share.pdf,Social and Emotional Development,12 - 36,,,,,,,,
SED 4: Relationships and Social Interactions with Peers,"Exploring Earlier, Exploring Later","Planned Learning Activity, Learning Environment and Materials, Family Engagement",CSEFEL,I Can Share By Karen Katz,"Book used to help teach about sharing. Additional sharing activities for circle time, centers outside play, art, snack, nap and dismissal.",https://csefel.vanderbilt.edu/booknook/share.pdf,Social and Emotional Development,12 - 36,,,,,,,,
 LLD 5: Interest in Literacy,"Exploring Earlier, Exploring Later","Planned Learning Activity, Learning Environment and Materials, Family Engagement",CSEFEL,I Can Share By Karen Katz,"Book used to help teach about sharing. Additional sharing activities for circle time, centers outside play, art, snack, nap and dismissal.",https://csefel.vanderbilt.edu/booknook/share.pdf,Social and Emotional Development,12 - 36,,,,,,,,
ATL-REG 5: Self-Control of Feelings and Behavior,"Exploring Later, Building Earlier","Planned Learning Activity, Learning Environment and Materials, Family Engagement",CSEFEL,"When I Am/Cuando estoy By Gladys Rosa-Mendoz
","Each page captures an emotion (happy, sad, tired, angry, bored, worried, frightened, surprised, and lonely) and what a child does when feeling that emotion. Additional Activities for music, puzzles, arrival, circle time, library, outside, art, snack and nap.",https://csefel.vanderbilt.edu/booknook/bn_wheniam.pdf,Social and Emotional Development,24 - 36,,,,,,,,
SED 2: Social and Emotional Understanding,"Exploring Later, Building Earlier","Planned Learning Activity, Learning Environment and Materials, Family Engagement",CSEFEL,"When I Am/Cuando estoy By Gladys Rosa-Mendoz
","Each page captures an emotion (happy, sad, tired, angry, bored, worried, frightened, surprised, and lonely) and what a child does when feeling that emotion. Additional Activities for music, puzzles, arrival, circle time, library, outside, art, snack and nap.",https://csefel.vanderbilt.edu/booknook/bn_wheniam.pdf,Social and Emotional Development,24 - 36,,,,,,,,
ATL-REG 2: Self-Comforting,"Exploring Earlier, Exploring Later, Building Earlier","Planned Learning Activity, Learning Environment and Materials, Family Engagement",CSEFEL,Quiet LOUD by Leslie Patricelli,"The book provides many fun examples of quiet and loud noises, places, objects and animals (whispering is quiet and screaming is loud; turtles are quiet and monkeys are loud). Additional activities for transitions, music/movement, outside.",https://csefel.vanderbilt.edu/booknook/quiet_loud.pdf,Social and Emotional Development,12 - 36,,,,,,,,
